Id,LotArea,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SaleCondition,SalePrice
1,8450,CollgCr,1Fam,2Story,2003,2003,1710,3,1,Gd,0,NA,Attchd,2003,2,548,2008,Normal,208500
2,9600,Veenker,1Fam,1Story,1976,1976,1262,3,1,TA,1,TA,Attchd,1976,2,460,2007,Normal,181500
3,11250,CollgCr,1Fam,2Story,2001,2002,1786,3,1,Gd,1,TA,Attchd,2001,2,608,2008,Normal,223500
4,9550,Crawfor,1Fam,2Story,1915,1970,1717,3,1,Gd,1,Gd,Detchd,1998,3,642,2006,Abnorml,140000
5,14260,NoRidge,1Fam,2Story,2000,2000,2198,4,1,Gd,1,TA,Attchd,2000,3,836,2008,Normal,250000
6,14115,Mitchel,1Fam,1.5Fin,1993,1995,1362,1,1,TA,0,NA,Attchd,1993,2,480,2009,Normal,143000
7,10084,Somerst,1Fam,1Story,2004,2005,1694,3,1,Gd,1,Gd,Attchd,2004,2,636,2007,Normal,307000
8,10382,NWAmes,1Fam,2Story,1973,1973,2090,3,1,TA,2,TA,Attchd,1973,2,484,2009,Normal,200000
9,6120,OldTown,1Fam,1.5Fin,1931,1950,1774,2,2,TA,2,TA,Detchd,1931,2,468,2008,Abnorml,129900
10,7420,BrkSide,2fmCon,1.5Unf,1939,1950,1077,2,2,TA,2,TA,Attchd,1939,1,205,2008,Normal,118000
11,11200,Sawyer,1Fam,1Story,1965,1965,1040,3,1,TA,0,NA,Detchd,1965,1,384,2008,Normal,129500
12,11924,NridgHt,1Fam,2Story,2005,2006,2324,4,1,Ex,2,Gd,BuiltIn,2005,3,736,2006,Partial,345000
13,12968,Sawyer,1Fam,1Story,1962,1962,912,2,1,TA,0,NA,Detchd,1962,1,352,2008,Normal,144000
14,10652,CollgCr,1Fam,1Story,2006,2007,1494,3,1,Gd,1,Gd,Attchd,2006,3,840,2007,Partial,279500
15,10920,NAmes,1Fam,1Story,1960,1960,1253,2,1,TA,1,Fa,Attchd,1960,1,352,2008,Normal,157000
16,6120,BrkSide,1Fam,1.5Unf,1929,2001,854,2,1,TA,0,NA,Detchd,1991,2,576,2007,Normal,132000
17,11241,NAmes,1Fam,1Story,1970,1970,1004,2,1,TA,1,TA,Attchd,1970,2,480,2010,Normal,149000
18,10791,Sawyer,Duplex,1Story,1967,1967,1296,2,2,TA,0,NA,CarPort,1967,2,516,2006,Normal,90000
19,13695,SawyerW,1Fam,1Story,2004,2004,1114,3,1,Gd,0,NA,Detchd,2004,2,576,2008,Normal,159000
20,7560,NAmes,1Fam,1Story,1958,1965,1339,3,1,TA,0,NA,Attchd,1958,1,294,2009,Abnorml,139000
21,14215,NridgHt,1Fam,2Story,2005,2006,2376,4,1,Gd,1,Gd,BuiltIn,2005,3,853,2006,Partial,325300
